Title,Efficiency,tandem,Year,reference
Cation Engineering by Three-Dimensional Organic Spacer Cations for Effective Defect Passivation in Perovskite Solar Cells,23.02,single-junction,2022,"Cation Engineering by Three-Dimensional Organic Spacer Cations for Effective Defect Passivation in Perovskite Solar Cells. Shang, XN; Zhang, BX; Gao, DY; Li, MJ; Wang, CL; Meng, FB; Chen, C. 2022. CHEMNANOMAT."
Tailored multi-functional molecular chain-based ferrocene derivative for efficient and stable perovskite solar cells,23.02,single-junction,2023,"Tailored multi-functional molecular chain-based ferrocene derivative for efficient and stable perovskite solar cells. Hu, BY; Zhang, J; Yang, YL; Dong, YY; Wang, JQ; Wang, W; Lin, KF; Xia, DB; Fan, RQ. 2023. NANO ENERGY."
Two-step perovskite crystallization assisted with F-containing additives enables over 23% efficiency in perovskite solar cells,23.01,single-junction,2023,"Two-step perovskite crystallization assisted with F-containing additives enables over 23% efficiency in perovskite solar cells. Liu, CJ; Xu, XQ; Zhang, ZL; Cao, SG; Han, J; Zheng, YP; Bi, ZE; Zhu, YQ; Luo, SZ; Xu, G; Liu, SZ; Wang, K; Ren, ZW; Li, G; Deng, QT; Liu, JL. 2023. JOURNAL OF SOLID STATE CHEMISTRY."
Redox engineering of spiro-OMeTAD based hole transport layer enabled by ultrathin Co(III)-grafted carbon nitride nanosheets for stable perovskite solar cells,23.01,single-junction,2022,"Redox engineering of spiro-OMeTAD based hole transport layer enabled by ultrathin Co(III)-grafted carbon nitride nanosheets for stable perovskite solar cells. Cao, W; Zhang, J; Lin, KF; Qiu, LL; Li, JZ; Dong, YY; Xia, DB; Yang, YL. 2022. NANO ENERGY."
Improving Photovoltaic Performance and Stability of Perovskite Solar Cells via Molecular Bridge Strategy,23,single-junction,2023,"Improving Photovoltaic Performance and Stability of Perovskite Solar Cells via Molecular Bridge Strategy. Yang, YR; Wei, TT; Shai, X; Song, QH; Zeng, CH; He, DM; Zhang, H; Chen, JZ. 2023. ADVANCED OPTICAL MATERIALS."
Perovskite solar cell-thermoelectric tandem system with a high efficiency of over 23%,23,single-junction,2019,"Perovskite solar cell-thermoelectric tandem system with a high efficiency of over 23%. Zhou, YY; Yin, XW; Zhang, Q; Wang, N; Yamamoto, A; Koumoto, K; Shen, HP; Lin, H. 2019. MATERIALS TODAY ENERGY."
Direct Ion-Exchange Method for Preparing a Solution Allowing Spontaneous Perovskite Passivation via Hole Transport Material Deposition,23,single-junction,2024,"Direct Ion-Exchange Method for Preparing a Solution Allowing Spontaneous Perovskite Passivation via Hole Transport Material Deposition. Nishimura, N; Kanda, H; Murakami, TN. 2024. ACS APPLIED ENERGY MATERIALS."
High-Performance Ternary Perovskite-Organic Solar Cells,23,single-junction,2022,"High-Performance Ternary Perovskite-Organic Solar Cells. Zhu, T; Shen, LN; Xun, SN; Sarmiento, JS; Yang, YR; Zheng, LY; Li, H; Wang, H; Bredas, JL; Gong, X. 2022. ADVANCED MATERIALS."
Highly efficient perovskite solar cells by building 2D/3D perovskite heterojuction<i> in</i><i> situ</i> for interfacial passivation and energy level adjustment,23,single-junction,2023,"Highly efficient perovskite solar cells by building 2D/3D perovskite heterojuction<i> in</i><i> situ</i> for interfacial passivation and energy level adjustment. Huang, YY; Yuan, ZY; Yang, J; Yin, SA; Liang, AH; Xie, G; Feng, CZ; Zhou, ZS; Xue, QF; Pan, Y; Huang, F; Chen, YW. 2023. SCIENCE CHINA-CHEMISTRY."
Realizing High-Efficiency Perovskite Solar Cells by Passivating Triple-Cation Perovskite Films,23,single-junction,2022,"Realizing High-Efficiency Perovskite Solar Cells by Passivating Triple-Cation Perovskite Films. Wu, YH; Zhu, HW; Wang, D; Akin, S; Eickemeyer, FT; Ren, D; Cai, HZ; Huang, LB. 2022. SOLAR RRL."
Imaging and quantifying non-radiative losses at 23% efficient inverted perovskite solar cells interfaces,23,single-junction,2022,"Imaging and quantifying non-radiative losses at 23% efficient inverted perovskite solar cells interfaces. Cacovich, S; Vidon, G; Degani, M; Legrand, M; Gouda, L; Puel, JB; Vaynzof, Y; Guillemoles, JF; Ory, D; Grancini, G. 2022. NATURE COMMUNICATIONS."
Cyclization of methoxy groups on spiro-type hole transporting materials for efficient and stable perovskite solar cells,23,single-junction,2023,"Cyclization of methoxy groups on spiro-type hole transporting materials for efficient and stable perovskite solar cells. Zhou, Y; Zhang, XF; Han, MY; Wu, N; Chen, JL; Rahim, G; Wu, YH; Dai, SY; Liu, XP. 2023. SOLAR ENERGY MATERIALS AND SOLAR CELLS."
Overcoming C<sub>60</sub>-induced interfacial recombination in inverted perovskite solar cells by electron-transporting carborane,23,single-junction,2022,"Overcoming C<sub>60</sub>-induced interfacial recombination in inverted perovskite solar cells by electron-transporting carborane. Ye, FY; Zhang, S; Warby, J; Wu, JW; Gutierrez-Partida, E; Lang, F; Shah, S; Saglamkaya, E; Sun, BW; Zu, FS; Shoaee, S; Wang, HF; Stiller, B; Neher, D; Zhu, WH; Stolterfoht, M; Wu, YZ. 2022. NATURE COMMUNICATIONS."
Passivating buried interface with multifunctional novel ionic liquid containing simultaneously fluorinated anion and cation yielding stable perovskite solar cells over 23% efficiency,23,single-junction,2022,"Passivating buried interface with multifunctional novel ionic liquid containing simultaneously fluorinated anion and cation yielding stable perovskite solar cells over 23% efficiency. Gao, DY; Yang, LQ; Ma, XH; Shang, XN; Wang, C; Li, MJ; Zhuang, XM; Zhang, BX; Song, HW; Chen, JZ; Chen, C. 2022. JOURNAL OF ENERGY CHEMISTRY."
Ionic Liquid Additives for Efficient and Durable Two-Step Perovskite Photovoltaic Devices,23,single-junction,2023,"Ionic Liquid Additives for Efficient and Durable Two-Step Perovskite Photovoltaic Devices. Wang, F; Sun, YG; Wang, TM; Yang, G; Li, QN; Li, YJ; Lin, HR; Wan, XJ; Li, G; Hu, HL. 2023. CRYSTALS."
"KBF<sub>4</sub> Additive for Alleviating Microstrain, Improving Crystallinity, and Passivating Defects in Inverted Perovskite Solar Cells",23,single-junction,2022,"KBF<sub>4</sub> Additive for Alleviating Microstrain, Improving Crystallinity, and Passivating Defects in Inverted Perovskite Solar Cells. Cheng, HY; Liu, CK; Zhuang, J; Cao, JP; Wang, TY; Wong, WY; Yan, F. 2022. ADVANCED FUNCTIONAL MATERIALS."
A penetrated 2D/3D hybrid heterojunction for high-performance perovskite solar cells,23,single-junction,2021,"A penetrated 2D/3D hybrid heterojunction for high-performance perovskite solar cells. Sun, JG; Zhang, XL; Ling, XF; Yang, YG; Wang, Y; Guo, JJ; Liu, SZ; Yuan, JY; Ma, WL. 2021. JOURNAL OF MATERIALS CHEMISTRY A."
"Functional 1,3-DTu Additive in Perovskite Layer for Stable Triple-Cation Perovskite Solar Cells with Efficiency Exceeding 23%",23,single-junction,2024,"Functional 1,3-DTu Additive in Perovskite Layer for Stable Triple-Cation Perovskite Solar Cells with Efficiency Exceeding 23%. Tian, XY; Zhang, S; Shen, ZT; Zhang, B; Hong, YQ; Liu, R; Liu, Y; Cao, RR; Song, J; Li, HL; Li, FM; Chen, C. 2024. SOLAR RRL."
Rational Design of Ferroelectric 2D Perovskite for Improving the Efficiency of Flexible Perovskite Solar Cells Over 23 %,23,single-junction,2023,"Rational Design of Ferroelectric 2D Perovskite for Improving the Efficiency of Flexible Perovskite Solar Cells Over 23 %. Han, B; Wang, YH; Liu, C; Sun, KX; Yang, MJ; Xie, LS; Yang, SC; Meng, YY; Lin, SY; Xu, P; Li, J; Qiu, QQ; Ge, ZY. 2023. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Nanoscale interfacial engineering enables highly stable and efficient perovskite photovoltaics,23,single-junction,2021,"Nanoscale interfacial engineering enables highly stable and efficient perovskite photovoltaics. Krishna, A; Zhang, H; Zhou, ZW; Gallet, T; Dankl, M; Ouellette, O; Eickemeyer, FT; Fu, F; Sanchez, S; Mensi, M; Zakeeruddin, SM; Rothlisberger, U; Reddy, GNM; Redinger, A; Grätzel, M; Hagfeldt, A. 2021. ENERGY & ENVIRONMENTAL SCIENCE."
Managing grains and interfaces via ligand anchoring enables 22.3%-efficiency inverted perovskite solar cells,23,single-junction,2020,"Managing grains and interfaces via ligand anchoring enables 22.3%-efficiency inverted perovskite solar cells. Zheng, XP; Hou, Y; Bao, CX; Yin, J; Yuan, FL; Huang, ZR; Song, KP; Liu, JK; Troughton, J; Gasparini, N; Zhou, C; Lin, YB; Xue, DJ; Chen, B; Johnston, AK; Wei, N; Hedhili, MN; Wei, MY; Alsalloum, AY; Maity, P; Turedi, B; Yang, C; Baran, D; Anthopoulos, TD; Han, Y; Lu, ZH; Mohammed, OF; Gao, F; Sargent, EH; Bakr, OM. 2020. NATURE ENERGY."
Surface Reconstruction of Perovskites with Organosilanes for High Performance and Highly Stable Solar Cells,23,single-junction,2025,"Surface Reconstruction of Perovskites with Organosilanes for High Performance and Highly Stable Solar Cells. Soliman, AIA; Zhang, YQ; Zhang, L; Wu, HT; Shan, SQ; Zhou, Y; Xu, C; Fu, WF; Chen, HZ. 2025. ADVANCED FUNCTIONAL MATERIALS."
Stabilization of Highly Efficient and Stable Phase-Pure FAPbI<sub>3</sub>Perovskite Solar Cells by Molecularly Tailored 2D-Overlayers,23,single-junction,2020,"Stabilization of Highly Efficient and Stable Phase-Pure FAPbI<sub>3</sub>Perovskite Solar Cells by Molecularly Tailored 2D-Overlayers. Liu, YH; Akin, S; Hinderhofer, A; Eickemeyer, FT; Zhu, HW; Seo, JY; Zhang, JH; Schreiber, F; Zhang, H; Zakeeruddin, SM; Hagfeldt, A; Dar, MI; Grätzel, M. 2020. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Plasmonic Local Heating Induced Strain Modulation for Enhanced Efficiency and Stability of Perovskite Solar Cells,23,single-junction,2022,"Plasmonic Local Heating Induced Strain Modulation for Enhanced Efficiency and Stability of Perovskite Solar Cells. Li, FZ; Lo, TW; Deng, X; Li, SQ; Fan, YL; Lin, FCR; Cheng, YH; Zhu, ZL; Lei, DY; Jen, AKY. 2022. ADVANCED ENERGY MATERIALS."
Synergistic dual-layer passivation boosts efficiency and stability in perovskite solar cells using naphthol sulfonate,23,single-junction,2025,"Synergistic dual-layer passivation boosts efficiency and stability in perovskite solar cells using naphthol sulfonate. Liu, H; Jiang, N; Wang, JT; Chen, SM; Zhang, J; Duan, Y. 2025. MATERIALS HORIZONS."
Ionic liquid dopant for hole transporting layer towards efficient LiTFSI-free perovskite solar cells,23,single-junction,2022,"Ionic liquid dopant for hole transporting layer towards efficient LiTFSI-free perovskite solar cells. Zhu, H; Mo, YP; Wang, C; Li, J; Tian, CC; Wen, YT; Lin, ZP; Yu, GM; Wang, LQ; Hou, PR; Zhang, XL; Li, W; Cheng, YB; Huang, FZ. 2022. CHEMICAL PHYSICS LETTERS."
"Understanding the ""double-edged-sword"" effect of dimethyl sulfoxide to guide the design of highly efficient perovskite solar cells in humid air",23,single-junction,2022,"Understanding the ""double-edged-sword"" effect of dimethyl sulfoxide to guide the design of highly efficient perovskite solar cells in humid air. Wang, M; Sun, HX; Wang, M; Li, L. 2022. NANO TODAY."
Synergistic Passivation With Phenylpropylammonium Bromide for Efficient Inverted Perovskite Solar Cells,23,single-junction,2024,"Synergistic Passivation With Phenylpropylammonium Bromide for Efficient Inverted Perovskite Solar Cells. Zhu, AN; Gu, H; Li, W; Liao, JF; Xia, JM; Liang, C; Sun, GX; Sha, ZD; Xing, GC. 2024. SMALL METHODS."
Improving the operational stability of perovskite solar cells with cesium-doped graphene oxide interlayer,23,single-junction,2024,"Improving the operational stability of perovskite solar cells with cesium-doped graphene oxide interlayer. Almalki, M; Anagnostou, K; Rogdakis, K; Eickemeyer, FT; Othman, M; Stylianakis, MM; Tsikritzis, D; Alanazi, AQ; Tzoganakis, N; Pfeifer, L; Therisod, R; Mo, XL; Wolff, CM; Hessler-Wyser, A; Zakeeruddin, SM; Zhang, H; Kymakis, E; Grätzel, M. 2024. JOURNAL OF ENERGY CHEMISTRY."
Managing Lead Leakage in Efficient Perovskite Solar Cells with Phosphate Interlayers,23,single-junction,2022,"Managing Lead Leakage in Efficient Perovskite Solar Cells with Phosphate Interlayers. Chen, JJ; Li, S; Ma, TS; Wu, DH; Zhao, Y; Wang, CL; Zhao, DW; Li, XF. 2022. ADVANCED MATERIALS INTERFACES."
Acetic Acid Assisted Crystallization Strategy for High Efficiency and Long-Term Stable Perovskite Solar Cell,23,single-junction,2020,"Acetic Acid Assisted Crystallization Strategy for High Efficiency and Long-Term Stable Perovskite Solar Cell. Li, Y; Shi, JW; Zheng, JH; Bing, JM; Yuan, JY; Cho, Y; Tang, S; Zhang, M; Yao, Y; Lau, CFJ; Lee, DS; Liao, C; Green, MA; Huang, SJ; Ma, WL; Ho-Baillie, AWY. 2020. ADVANCED SCIENCE."
Manipulating Halide Perovskite Passivation by Controlling Amino Acid Derivative Isoelectric Point for Stable and Efficient Inverted Perovskite Solar Cells,23,single-junction,2023,"Manipulating Halide Perovskite Passivation by Controlling Amino Acid Derivative Isoelectric Point for Stable and Efficient Inverted Perovskite Solar Cells. Xu, P; Xie, LS; Yang, SC; Han, B; Liu, J; Chen, JJ; Liu, C; Jia, RP; Yang, MJ; Ge, ZY. 2023. SOLAR RRL."
Stability and efficiency improvement of perovskite solar cells by surface hydroxyl defect passivation of SnO<sub>2</sub> layer with 4-fluorothiophenol,23,single-junction,2023,"Stability and efficiency improvement of perovskite solar cells by surface hydroxyl defect passivation of SnO<sub>2</sub> layer with 4-fluorothiophenol. Jeon, YS; Kang, DH; Kim, JH; Park, NG. 2023. JOURNAL OF MATERIALS CHEMISTRY A."
Fluorinated Cation-Based 2D Perovskites for Efficient and Stable 3D/2D Heterojunction Perovskite Solar Cells,23,single-junction,2023,"Fluorinated Cation-Based 2D Perovskites for Efficient and Stable 3D/2D Heterojunction Perovskite Solar Cells. Bati, ASR; Jiang, W; Chu, RN; Mallo, N; Burn, PL; Gentle, IR; Shaw, PE. 2023. ACS APPLIED MATERIALS & INTERFACES."
Tripodal Triazatruxene Derivative as a Face-On Oriented Hole-Collecting Monolayer for Efficient and Stable Inverted Perovskite Solar Cells,23,single-junction,2023,"Tripodal Triazatruxene Derivative as a Face-On Oriented Hole-Collecting Monolayer for Efficient and Stable Inverted Perovskite Solar Cells. Truong, MA; Funasaki, T; Ueberricke, L; Nojo, W; Murdey, R; Yamada, T; Hu, SF; Akatsuka, A; Sekiguchi, N; Hira, S; Xie, LL; Nakamura, T; Shioya, N; Kan, D; Tsuji, Y; Iikubo, S; Yoshida, H; Shimakawa, Y; Hasegawa, T; Kanemitsu, Y; Suzuki, T; Wakamiya, A. 2023. JOURNAL OF THE AMERICAN CHEMICAL SOCIETY."
Lead Leakage Preventable Fullerene-Porphyrin Dyad for Efficient and Stable Perovskite Solar Cells,23,single-junction,2022,"Lead Leakage Preventable Fullerene-Porphyrin Dyad for Efficient and Stable Perovskite Solar Cells. Liang, YM; Song, PQ; Tian, HR; Tian, CB; Tian, WJ; Nan, ZA; Cai, YT; Yang, PP; Sun, C; Chen, JF; Xie, LQ; Zhang, QY; Wei, ZH. 2022. ADVANCED FUNCTIONAL MATERIALS."
Simultaneously Modifying Hole Transport Material and Perovskite via a Crown Ether-Based Semiconductor Toward Efficient and Stable Perovskite Solar Cells,23,single-junction,2023,"Simultaneously Modifying Hole Transport Material and Perovskite via a Crown Ether-Based Semiconductor Toward Efficient and Stable Perovskite Solar Cells. Chen, KX; Lu, HQ; Yang, Y; Li, SF; Jia, KK; Wu, F; Zhu, LN. 2023. SOLAR RRL."
Ag Electrode Anticorrosion in Inverted Perovskite Solar Cells,23,single-junction,2024,"Ag Electrode Anticorrosion in Inverted Perovskite Solar Cells. Liu, AC; Li, XD; Zhang, WX; Yang, H; Guo, XM; Lu, CY; Yuan, HB; Ou-Yang, W; Fang, JF. 2024. ADVANCED FUNCTIONAL MATERIALS."
π-Conjugated Small Molecules Modified SnO<sub>2</sub> Layer for Perovskite Solar Cells with over 23% Efficiency,23,single-junction,2021,"π-Conjugated Small Molecules Modified SnO<sub>2</sub> Layer for Perovskite Solar Cells with over 23% Efficiency. Lou, Q; Han, YF; Liu, C; Zheng, KH; Zhang, JS; Chen, X; Du, Q; Chen, C; Ge, ZY. 2021. ADVANCED ENERGY MATERIALS."
Hole-Transport Management Enables 23%-Efficient and Stable Inverted Perovskite Solar Cells with 84% Fill Factor,23,single-junction,2023,"Hole-Transport Management Enables 23%-Efficient and Stable Inverted Perovskite Solar Cells with 84% Fill Factor. Liu, LM; Ma, YJ; Wang, YS; Ma, QY; Wang, ZX; Yang, ZG; Wan, MX; Mahmoudi, T; Hahn, YB; Mai, YH. 2023. NANO-MICRO LETTERS."
Immobilizing Surface Halide in Perovskite Solar Cells via Calix[4]pyrrole,23,single-junction,2023,"Immobilizing Surface Halide in Perovskite Solar Cells via Calix[4]pyrrole. Guo, HX; Wang, XY; Li, CJ; Hu, HL; Zhang, HD; Zhang, LJ; Zhu, WH; Wu, YZ. 2023. ADVANCED MATERIALS."
A Polymerization-Assisted Grain Growth Strategy for Efficient and Stable Perovskite Solar Cells,23,single-junction,2020,"A Polymerization-Assisted Grain Growth Strategy for Efficient and Stable Perovskite Solar Cells. Zhao, YP; Zhu, PC; Wang, MH; Huang, S; Zhao, ZP; Tan, S; Han, TH; Lee, JW; Huang, TY; Wang, R; Xue, JJ; Meng, D; Huang, Y; Marian, J; Zhu, J; Yang, Y. 2020. ADVANCED MATERIALS."
Regulating Surface Heterogeneity Maximizes Photovoltage and Operational Stability in Tin-Lead Perovskite Solar Cells,23,single-junction,2023,"Regulating Surface Heterogeneity Maximizes Photovoltage and Operational Stability in Tin-Lead Perovskite Solar Cells. Gunasekaran, RK; Jung, J; Yang, SW; Im, D; Choi, WC; Yun, Y; Lee, S. 2023. ACS ENERGY LETTERS."
Deep-Level Transient Spectroscopy for Effective Passivator Selection in Perovskite Solar Cells to Attain High Efficiency over 23%,23,single-junction,2021,"Deep-Level Transient Spectroscopy for Effective Passivator Selection in Perovskite Solar Cells to Attain High Efficiency over 23%. Ren, XD; Zhang, BB; Zhang, L; Wen, JL; Che, B; Bai, DL; You, JX; Chen, T; Liu, SZ. 2021. CHEMSUSCHEM."
NiO<sub>x</sub> Nanocrystals with Tunable Size and Energy Levels for Efficient and UV Stable Perovskite Solar Cells,23,single-junction,2022,"NiO<sub>x</sub> Nanocrystals with Tunable Size and Energy Levels for Efficient and UV Stable Perovskite Solar Cells. Cui, XX; Jin, JJ; Zou, JJ; Tang, Q; Ai, Y; Zhang, X; Wang, Z; Zhou, Y; Zhu, ZK; Tang, GQ; Cao, Q; Liu, S; Liu, XW; Tai, QD. 2022. ADVANCED FUNCTIONAL MATERIALS."
Improving Thermal Stability of Perovskite Solar Cells by Suppressing Ion Migration,23,single-junction,2024,"Improving Thermal Stability of Perovskite Solar Cells by Suppressing Ion Migration. Shi, YF; Zheng, YF; Xiao, X; Li, Y; Feng, DF; Zhang, GD; Zhang, Y; Li, T; Shao, YC. 2024. SMALL STRUCTURES."
High-Efficiency and Durable Inverted Perovskite Solar Cells with Thermally-Induced Phase-Change Electron Extraction Layer,23,single-junction,2021,"High-Efficiency and Durable Inverted Perovskite Solar Cells with Thermally-Induced Phase-Change Electron Extraction Layer. Li, X; Meng, Y; Liu, RZ; Yang, ZY; Zeng, Y; Yi, YP; Sha, WEI; Long, Y; Yang, JY. 2021. ADVANCED ENERGY MATERIALS."
Simultaneous achievement of defect passivation and carrier transport promotion by using emerald salt for methylammonium-free perovskite solar cells,23,single-junction,2022,"Simultaneous achievement of defect passivation and carrier transport promotion by using emerald salt for methylammonium-free perovskite solar cells. Fan, ZH; Yin, Y; Cai, B; Ma, QS; Liu, QL; Liu, XH; Lv, YH; Zhang, WH. 2022. CHEMICAL SCIENCE."
Stable and efficient perovskite solar cells by discrete two-dimensional perovskites capped on the three-dimensional perovskites bilayer thin film,23,single-junction,2022,"Stable and efficient perovskite solar cells by discrete two-dimensional perovskites capped on the three-dimensional perovskites bilayer thin film. Zheng, LY; Shen, LN; Zhu, T; Zhang, D; Zheng, J; Gong, X. 2022. NANO ENERGY."
Thermal Shock Fabrication of Ion-Stabilized Perovskite and Solar Cells,22.99,single-junction,2022,"Thermal Shock Fabrication of Ion-Stabilized Perovskite and Solar Cells. Kang, YF; Wang, AR; Li, R; Song, YL; Wang, XJ; Li, HM; Xu, WQ; Zhang, LJ; Dong, QF. 2022. ADVANCED MATERIALS."
Sequential Deposition of Diluted Aqueous SnO<sub>2</sub> Dispersion for Perovskite Solar Cells,22.99,single-junction,2024,"Sequential Deposition of Diluted Aqueous SnO<sub>2</sub> Dispersion for Perovskite Solar Cells. Pylnev, M; Nishikubo, R; Ishiwari, F; Wakamiya, A; Saeki, A. 2024. SOLAR RRL."
Bifunctional modified biopolymer for highly efficient and stable perovskite solar cells and modules,22.98,single-junction,2023,"Bifunctional modified biopolymer for highly efficient and stable perovskite solar cells and modules. Guo, H; Yang, X; Zhu, J; An, ZF; Gong, OY; Li, ZJ; Yoo, PJ; Kim, S; Han, GS; Jung, HS. 2023. CHEMICAL ENGINEERING JOURNAL."
Interfacial Passivation for Perovskite Solar Cells: The Effects of the Functional Group in Phenethylammonium Iodide,22.98,single-junction,2019,"Interfacial Passivation for Perovskite Solar Cells: The Effects of the Functional Group in Phenethylammonium Iodide. Zhuang, J; Mao, P; Luan, YG; Yi, XH; Tu, ZY; Zhang, YY; Yi, YP; Wei, YZ; Chen, NL; Lin, T; Wang, FY; Li, C; Wang, JZ. 2019. ACS ENERGY LETTERS."
Dual-side interfacial passivation of FAPbI3 perovskite film by Naphthylmethylammonium iodide for highly efficient and stable perovskite solar cells,22.97,single-junction,2023,"Dual-side interfacial passivation of FAPbI3 perovskite film by Naphthylmethylammonium iodide for highly efficient and stable perovskite solar cells. Hatamvand, M; Gholipour, S; Chen, MY; Zhou, Y; Jiang, TT; Hu, ZL; Chen, YH; Huang, W. 2023. CHEMICAL ENGINEERING JOURNAL."
Composition design of fullerene-based hybrid electron transport layer for efficient and stable wide-bandgap perovskite solar cells,22.95,single-junction,2025,"Composition design of fullerene-based hybrid electron transport layer for efficient and stable wide-bandgap perovskite solar cells. Zeng, S; Zhou, JP; Sun, YD; Sun, W; Yang, LY; Wang, H; Li, XY; Guo, HL; Dong, LF; Guo, CH; Chen, ZH; Li, W; Liu, D; Wang, T. 2025. JOURNAL OF ENERGY CHEMISTRY."
Polymer-complexed SnO<sub>2</sub> electron transport layer for high-efficiency n-i-p perovskite solar cells,22.93,single-junction,2022,"Polymer-complexed SnO<sub>2</sub> electron transport layer for high-efficiency n-i-p perovskite solar cells. Xu, ZH; Ng, CH; Zhou, XM; Li, XH; Zhang, PT; Teo, SH. 2022. NANOSCALE."
Quenching Detrimental Reactions and Boosting Hole Extraction via Multifunctional NiO<sub>x</sub>/Perovskite Interface Passivation for Efficient and Stable Inverted Solar Cells,22.93,single-junction,2024,"Quenching Detrimental Reactions and Boosting Hole Extraction via Multifunctional NiO<sub>x</sub>/Perovskite Interface Passivation for Efficient and Stable Inverted Solar Cells. Jiang, ZY; Wang, D; Sun, JY; Hu, BH; Zhang, LZ; Zhou, XY; Wu, JW; Hu, H; Zhang, JY; Choy, WCH; Xu, BM. 2024. SMALL METHODS."
Improving Ultraviolet Stability of Perovskite Solar Cells via Singlet Fission Down-Conversion,22.92,single-junction,2023,"Improving Ultraviolet Stability of Perovskite Solar Cells via Singlet Fission Down-Conversion. Zhang, YD; Xiao, SQ; Sheng, WP; Yang, J; Tan, LC; Chen, YW. 2023. CHINESE JOURNAL OF CHEMISTRY."
Spontaneous Internal Encapsulation via Dual Interfacial Perovskite Heterojunction Enables Highly Efficient and Stable Perovskite Solar Cells,22.92,single-junction,2023,"Spontaneous Internal Encapsulation via Dual Interfacial Perovskite Heterojunction Enables Highly Efficient and Stable Perovskite Solar Cells. Li, DX; Xing, Z; Meng, XC; Hu, XT; Hu, T; Chen, YW. 2023. NANO LETTERS."
Fluorinated Graphene-Lewis-Base Polymer Composites as a Multifunctional Passivation Layer for High-Performance Perovskite Solar Cells,22.91,single-junction,2023,"Fluorinated Graphene-Lewis-Base Polymer Composites as a Multifunctional Passivation Layer for High-Performance Perovskite Solar Cells. Lou, Q; Guo, HL; Chen, JH; Guo, YZ; Zhu, XM; Chen, T; Xu, XX; Xu, JY; Xu, ZJ; Zhou, H. 2023. ACS APPLIED MATERIALS & INTERFACES."
Unraveling the modification effect at NiO<sub><i>x</i></sub>/perovskite interfaces for efficient and stable inverted perovskite solar cells,22.91,single-junction,2023,"Unraveling the modification effect at NiO<sub><i>x</i></sub>/perovskite interfaces for efficient and stable inverted perovskite solar cells. Kang, XX; Wang, DR; Sun, K; Dong, X; Hui, W; Wang, BH; Gu, L; Li, MX; Bao, YQ; Zhang, J; Guo, RJ; Li, ZR; Jiang, XZ; Müller-Buschbaum, P; Song, L. 2023. JOURNAL OF MATERIALS CHEMISTRY A."
Size-matched dicarboxylic acid for buried interfacial engineering in high-performance perovskite solar cells,22.91,single-junction,2023,"Size-matched dicarboxylic acid for buried interfacial engineering in high-performance perovskite solar cells. Zhuang, XH; Ma, DY; Li, GY; Yang, ZY; Zhang, ZS; Zhao, J; Chi, ZG. 2023. CHEMICAL ENGINEERING JOURNAL."
"Crystal growth, defect passivation and strain release via In-situ Self-polymerization strategy enables efficient and stable perovskite solar cells",22.9,single-junction,2022,"Crystal growth, defect passivation and strain release via In-situ Self-polymerization strategy enables efficient and stable perovskite solar cells. Qiu, FZ; Sun, JY; Qi, JJ. 2022. CHEMICAL ENGINEERING JOURNAL."
Dual Function Modification of Cs<sub>2</sub>CO<sub>3</sub> for Efficient Perovskite Solar Cells,22.9,single-junction,2022,"Dual Function Modification of Cs<sub>2</sub>CO<sub>3</sub> for Efficient Perovskite Solar Cells. Liu, DB; Zeng, QX; Xu, CY; Liang, HF; Chen, LJ; Song, QL. 2022. NANOMATERIALS."
Passivating detrimental grain boundaries in perovskite films with strongly interacting polymer for achieving high-efficiency and stable perovskite solar cells,22.9,single-junction,2023,"Passivating detrimental grain boundaries in perovskite films with strongly interacting polymer for achieving high-efficiency and stable perovskite solar cells. Na, H; Li, MQ; Cha, J; Kim, S; Jin, H; Baek, D; Kim, MK; Sim, S; Lee, M; Kim, M; Lim, J; Lee, J; Kim, M. 2023. APPLIED SURFACE SCIENCE."
A biomineralization-inspired strategy of self-encapsulation for perovskite solar cells,22.9,single-junction,2022,"A biomineralization-inspired strategy of self-encapsulation for perovskite solar cells. Zhan, Y; Peng, JS; Cao, C; Cheng, QF. 2022. NANO ENERGY."
Perovskitoid-Templated Formation of a 1D@3D Perovskite Structure toward Highly Efficient and Stable Perovskite Solar Cells,22.9,single-junction,2021,"Perovskitoid-Templated Formation of a 1D@3D Perovskite Structure toward Highly Efficient and Stable Perovskite Solar Cells. Kong, TF; Xie, HB; Zhang, Y; Song, J; Li, YH; Lim, EL; Hagfeldt, A; Bi, DQ. 2021. ADVANCED ENERGY MATERIALS."
Dual Effect of Superhalogen Ionic Liquids Ensures Efficient Carrier Transport for Highly Efficient and Stable Perovskite Solar Cells,22.9,single-junction,2022,"Dual Effect of Superhalogen Ionic Liquids Ensures Efficient Carrier Transport for Highly Efficient and Stable Perovskite Solar Cells. Zhang, H; Xu, SD; Guo, TL; Du, D; Tao, YL; Zhang, LY; Liu, GZ; Chen, XJ; Ye, JJ; Guo, Z; Zheng, HY. 2022. ACS APPLIED MATERIALS & INTERFACES."
